,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
2265,6,46,1.0,6,6,36.0
2266,9,57,1.0,5,9,52.0
2267,4,95,0.0,9,6,79.0
2268,8,80,1.0,8,1,74.0
2269,9,94,1.0,7,5,93.0
2270,4,75,1.0,8,3,57.0
2271,5,80,1.0,4,6,65.0
2272,8,75,0.0,6,6,69.0
2273,6,83,0.0,4,3,71.0
2274,7,43,0.0,7,2,31.0
2275,3,96,0.0,9,6,78.0
2276,7,69,1.0,5,8,60.0
2277,8,63,1.0,6,3,58.0
2278,6,59,1.0,4,5,46.0
2279,9,85,1.0,9,6,87.0
2280,6,95,0.0,6,9,81.0
2281,9,70,1.0,8,2,69.0
2282,4,63,1.0,5,4,46.0
2283,8,46,0.0,9,0,41.0
2284,4,65,0.0,6,5,50.0
2285,2,52,0.0,5,4,24.0
2286,9,93,1.0,9,6,97.0
2287,5,47,0.0,8,8,35.0
2288,4,94,1.0,8,3,82.0
2289,2,44,1.0,4,8,24.0
2290,1,83,0.0,7,5,59.0
2291,7,52,0.0,4,4,42.0
2292,6,68,0.0,5,1,56.0
2293,2,59,1.0,4,0,30.0
2294,8,53,1.0,9,7,49.0
2295,4,71,1.0,6,5,56.0
2296,8,99,0.0,9,6,98.0
2297,7,89,1.0,4,5,79.0
2298,5,66,1.0,7,9,54.0
2299,8,95,1.0,9,6,93.0
2300,9,64,1.0,9,8,63.0
2301,5,91,0.0,9,4,76.0
2302,5,43,1.0,7,0,27.0
2303,2,60,0.0,9,0,35.0
2304,5,57,0.0,5,8,39.0
2305,3,78,1.0,8,4,59.0
2306,7,54,1.0,7,1,50.0
2307,5,92,0.0,5,2,77.0
2308,8,77,1.0,7,0,70.0
2309,1,87,0.0,7,5,62.0
2310,3,91,1.0,8,5,71.0
2311,3,63,1.0,6,2,39.0
2312,9,47,0.0,5,2,41.0
2313,5,67,1.0,7,6,51.0
2314,9,60,0.0,7,0,52.0
2315,9,55,0.0,4,4,49.0
2316,1,99,1.0,9,2,76.0
2317,2,93,0.0,6,4,71.0
2318,5,55,1.0,8,3,42.0
2319,4,74,1.0,5,5,60.0
2320,9,56,1.0,7,8,53.0
2321,7,48,0.0,9,1,40.0
2322,6,96,1.0,5,9,85.0
2323,7,74,1.0,8,7,70.0
2324,1,91,0.0,6,1,63.0
2325,1,68,0.0,4,3,42.0
2326,8,78,0.0,6,8,73.0
2327,2,57,0.0,4,3,35.0
2328,9,51,1.0,5,6,48.0
2329,7,58,1.0,6,4,49.0
2330,6,87,1.0,6,1,75.0
2331,1,61,1.0,6,7,35.0
2332,1,98,0.0,8,9,70.0
2333,2,95,0.0,5,9,71.0
2334,6,88,1.0,4,1,74.0
2335,6,91,0.0,6,2,77.0
2336,2,54,0.0,5,9,30.0
2337,1,40,0.0,9,6,13.0
2338,5,41,0.0,8,4,26.0
2339,5,47,0.0,8,9,35.0
2340,2,61,1.0,9,2,40.0
2341,6,64,1.0,5,1,55.0
2342,9,41,0.0,4,5,37.0
2343,2,90,0.0,5,9,64.0
2344,2,48,1.0,5,0,23.0
2345,3,48,1.0,7,7,27.0
2346,7,52,0.0,8,4,42.0
2347,6,45,0.0,4,4,34.0
2348,8,69,0.0,7,1,63.0
2349,8,54,1.0,9,6,50.0
2350,6,90,0.0,5,4,75.0
2351,3,92,0.0,9,7,74.0
2352,3,54,0.0,8,4,39.0
2353,1,89,0.0,7,8,63.0
2354,7,46,0.0,7,4,36.0
2355,5,97,0.0,4,2,84.0
2356,4,50,0.0,5,1,30.0
2357,4,79,0.0,4,4,60.0
2358,4,77,1.0,7,9,61.0
2359,6,79,1.0,7,9,70.0
2360,8,41,1.0,4,4,32.0
2361,8,90,0.0,7,5,87.0
2362,5,87,1.0,6,1,72.0
2363,6,78,1.0,8,4,68.0
2364,4,49,1.0,5,0,29.0
2365,9,83,1.0,8,2,78.0
2366,8,56,1.0,5,2,45.0
2367,1,46,0.0,7,2,20.0
2368,2,93,1.0,4,2,66.0
2369,9,79,0.0,4,7,77.0
2370,8,78,0.0,7,0,72.0
2371,3,43,1.0,5,5,26.0
2372,8,74,0.0,7,5,67.0
2373,1,90,1.0,5,0,67.0
2374,4,86,0.0,7,0,68.0
2375,3,75,0.0,7,2,56.0
2376,6,70,1.0,7,7,61.0
2377,7,64,0.0,4,5,50.0
2378,4,80,0.0,5,3,68.0
2379,7,52,0.0,9,4,47.0
2380,9,57,0.0,7,9,56.0
2381,2,60,0.0,8,2,40.0
2382,3,87,0.0,8,5,68.0
2383,5,40,0.0,4,5,26.0
2384,3,75,0.0,6,5,55.0
2385,8,89,1.0,9,8,84.0
2386,8,47,0.0,4,9,40.0
2387,8,91,1.0,6,7,85.0
2388,9,87,1.0,4,5,85.0
2389,4,60,0.0,8,1,40.0
2390,5,82,0.0,7,3,68.0
2391,5,91,1.0,5,5,74.0
2392,8,92,1.0,7,8,90.0
2393,7,92,1.0,8,1,82.0
2394,9,60,0.0,5,5,57.0
2395,8,66,0.0,6,9,61.0
2396,2,58,0.0,6,9,38.0
2397,4,62,1.0,8,9,46.0
2398,6,90,0.0,5,6,80.0
2399,2,89,0.0,7,7,67.0
2400,7,90,0.0,8,8,84.0
2401,3,82,0.0,6,4,58.0
2402,3,74,1.0,8,8,55.0
2403,2,79,0.0,7,8,57.0
2404,8,91,0.0,4,6,87.0
2405,6,90,1.0,9,1,80.0
2406,1,81,0.0,9,7,54.0
2407,1,87,1.0,9,4,64.0
2408,7,44,1.0,4,7,33.0
2409,8,91,0.0,7,1,83.0
2410,5,80,1.0,5,6,66.0
2411,5,47,0.0,8,4,33.0
2412,4,50,1.0,7,3,31.0
2413,6,55,1.0,4,9,40.0
2414,6,78,0.0,6,5,66.0
2415,3,86,1.0,9,4,67.0
2416,9,63,0.0,9,5,64.0
2417,7,60,0.0,7,8,52.0
2418,1,91,0.0,9,0,68.0
2419,7,62,0.0,9,0,58.0
2420,5,88,1.0,7,5,72.0
2421,5,77,0.0,7,1,65.0
2422,2,86,1.0,4,7,65.0
2423,4,47,0.0,4,6,24.0
2424,6,46,1.0,9,5,35.0
2425,7,41,1.0,7,3,34.0
2426,5,69,1.0,7,8,57.0
2427,9,52,1.0,9,6,54.0
2428,3,62,0.0,5,6,42.0
2429,1,68,0.0,6,4,39.0
2430,4,77,1.0,8,0,62.0
2431,9,76,1.0,8,1,71.0
2432,4,59,0.0,9,7,42.0
2433,2,72,1.0,8,4,52.0
2434,5,68,1.0,4,1,54.0
2435,3,89,0.0,4,4,68.0
2436,9,54,1.0,5,7,50.0
2437,4,62,1.0,9,3,46.0
2438,6,81,0.0,4,2,68.0
2439,2,42,1.0,9,4,19.0
2440,6,76,0.0,9,6,68.0
2441,3,95,0.0,7,1,74.0
2442,9,68,0.0,6,0,63.0
2443,2,84,0.0,6,4,60.0
2444,9,47,1.0,9,6,47.0
2445,5,61,0.0,6,7,47.0
2446,8,92,0.0,6,7,87.0
2447,2,68,1.0,8,9,45.0
2448,6,41,0.0,8,8,31.0
2449,3,80,1.0,7,0,61.0
2450,5,88,0.0,5,6,73.0
2451,8,98,0.0,4,9,92.0
2452,1,89,0.0,4,7,65.0
2453,5,84,0.0,8,5,69.0
2454,3,40,1.0,9,9,20.0
2455,4,83,1.0,6,3,66.0
2456,2,59,1.0,7,6,38.0
2457,9,91,0.0,5,2,81.0
2458,3,60,0.0,8,1,39.0
2459,2,76,0.0,9,5,53.0
2460,9,47,1.0,7,1,44.0
2461,7,66,0.0,9,5,58.0
2462,6,86,1.0,7,9,79.0
2463,1,98,1.0,8,2,75.0
2464,5,74,1.0,7,1,59.0
2465,3,45,0.0,6,7,23.0
2466,1,99,0.0,7,3,74.0
2467,4,84,0.0,5,3,65.0
2468,2,83,0.0,7,6,60.0
2469,2,58,1.0,4,7,32.0
2470,3,57,1.0,7,8,38.0
2471,8,95,0.0,9,9,91.0
2472,8,40,0.0,8,7,34.0
2473,7,64,0.0,4,3,46.0
2474,6,66,1.0,8,1,55.0
2475,9,46,0.0,9,9,43.0
2476,4,83,1.0,5,4,67.0
2477,1,81,1.0,6,6,56.0
2478,8,68,1.0,5,1,58.0
2479,7,70,1.0,4,3,60.0
2480,7,83,1.0,9,5,77.0
2481,3,82,1.0,9,7,69.0
2482,4,75,1.0,6,9,60.0
2483,9,58,0.0,7,5,52.0
2484,6,45,0.0,4,5,36.0
2485,5,64,0.0,6,5,49.0
2486,3,70,1.0,8,3,50.0
2487,9,48,1.0,6,2,48.0
2488,5,59,0.0,8,0,43.0
2489,5,49,1.0,8,1,34.0
2490,4,76,1.0,9,1,57.0
2491,4,66,1.0,6,9,50.0
2492,1,52,1.0,9,6,28.0
2493,7,80,1.0,9,5,72.0
2494,9,41,1.0,5,7,38.0
2495,3,89,1.0,5,8,68.0
2496,2,60,1.0,9,4,41.0
2497,3,72,1.0,9,2,53.0
2498,1,63,1.0,8,3,36.0
2499,6,92,1.0,9,7,80.0
2500,7,83,1.0,4,2,73.0
2501,2,81,0.0,6,1,59.0
2502,8,73,1.0,4,6,67.0
2503,6,99,1.0,5,3,91.0
2504,4,48,0.0,4,7,34.0
2505,5,41,0.0,7,0,23.0
2506,8,94,0.0,7,7,86.0
2507,3,95,1.0,5,4,73.0
2508,3,69,1.0,4,1,49.0
2509,4,61,0.0,6,0,43.0
2510,1,85,0.0,5,5,61.0
2511,9,50,0.0,7,8,45.0
2512,8,94,1.0,5,8,85.0
2513,8,82,1.0,4,8,75.0
2514,6,56,0.0,4,3,44.0
2515,7,75,1.0,4,5,66.0
2516,6,52,1.0,8,9,45.0
2517,9,46,0.0,4,5,40.0
2518,3,55,0.0,9,4,38.0
2519,3,72,0.0,7,1,50.0
2520,3,84,1.0,7,6,67.0
2521,3,40,1.0,8,0,21.0
2522,9,50,1.0,7,5,51.0
2523,4,45,1.0,7,4,25.0
2524,7,59,1.0,5,4,53.0
2525,9,74,0.0,4,7,71.0
2526,7,83,1.0,9,8,77.0
2527,9,76,1.0,9,6,75.0
2528,3,80,0.0,5,9,60.0
2529,4,65,0.0,9,7,49.0
2530,8,97,0.0,5,1,87.0
2531,6,51,0.0,9,1,40.0
2532,5,69,1.0,7,7,56.0
2533,4,67,1.0,6,5,49.0
2534,8,66,0.0,4,7,59.0
2535,1,81,1.0,6,8,59.0
2536,9,58,0.0,7,8,54.0
2537,1,44,1.0,8,5,17.0
2538,8,97,1.0,5,7,90.0
2539,4,44,1.0,9,1,23.0
2540,9,80,0.0,9,7,82.0
2541,5,66,0.0,7,2,49.0
2542,3,67,1.0,9,0,50.0
2543,9,65,1.0,7,6,60.0
2544,9,66,0.0,6,0,60.0
2545,4,91,0.0,8,0,74.0
2546,4,88,1.0,5,0,71.0
2547,8,81,1.0,9,3,77.0
2548,2,60,0.0,8,3,34.0
2549,9,40,1.0,8,9,39.0
2550,6,93,0.0,8,5,85.0
2551,9,67,0.0,4,9,64.0
2552,8,87,1.0,8,2,87.0
2553,7,97,1.0,7,9,91.0
2554,1,97,1.0,4,5,73.0
2555,3,54,0.0,4,6,34.0
2556,2,94,0.0,8,0,70.0
2557,5,56,0.0,9,5,42.0
2558,5,65,1.0,9,9,55.0
2559,5,59,1.0,9,0,45.0
2560,4,64,0.0,9,6,49.0
2561,5,52,0.0,7,9,37.0
2562,3,72,1.0,9,4,55.0
2563,1,64,0.0,5,9,38.0
2564,5,47,1.0,8,3,35.0
2565,9,44,1.0,4,0,41.0
2566,9,45,0.0,5,8,43.0
2567,4,62,0.0,9,6,46.0
2568,3,91,0.0,5,1,69.0
2569,1,69,0.0,4,3,37.0
2570,2,53,0.0,9,3,31.0
2571,8,93,1.0,5,7,90.0
2572,1,62,0.0,7,1,33.0
2573,8,50,1.0,7,4,44.0
2574,7,70,0.0,8,9,62.0
2575,8,45,0.0,8,7,41.0
2576,6,50,0.0,5,5,38.0
2577,9,52,0.0,4,3,45.0
2578,3,51,0.0,7,4,34.0
2579,4,93,0.0,6,1,72.0
2580,6,41,1.0,8,4,29.0
2581,8,92,0.0,7,2,83.0
2582,5,74,0.0,9,2,61.0
2583,3,94,0.0,5,6,75.0
2584,6,75,0.0,7,2,63.0
2585,4,56,1.0,7,3,36.0
2586,9,67,1.0,5,6,62.0
2587,3,67,1.0,8,2,49.0
2588,4,61,1.0,8,9,46.0
2589,7,77,1.0,6,9,69.0
2590,7,46,1.0,6,1,35.0
2591,4,54,0.0,8,9,38.0
2592,6,71,0.0,8,6,62.0
2593,3,50,1.0,8,4,30.0
2594,6,63,0.0,8,0,52.0
2595,2,42,0.0,7,9,16.0
2596,8,69,0.0,6,7,66.0
2597,2,45,0.0,5,2,20.0
2598,7,97,0.0,4,6,86.0
2599,9,41,1.0,5,5,38.0
2600,1,53,1.0,9,9,30.0
2601,8,80,1.0,4,5,71.0
2602,7,57,1.0,7,7,49.0
2603,6,90,1.0,9,3,79.0
2604,6,83,1.0,6,3,69.0
2605,6,70,0.0,4,2,56.0
2606,9,52,1.0,8,0,47.0
2607,2,65,0.0,9,9,41.0
2608,1,83,0.0,7,2,58.0
2609,6,51,1.0,4,0,38.0
2610,8,57,1.0,8,5,52.0
2611,3,48,1.0,9,7,25.0
2612,1,88,0.0,7,2,62.0
2613,9,60,1.0,9,3,60.0
2614,1,87,1.0,4,4,63.0
2615,3,88,1.0,8,6,72.0
2616,8,92,0.0,6,5,84.0
2617,3,95,1.0,7,1,74.0
2618,4,79,1.0,4,6,61.0
2619,8,82,0.0,8,7,77.0
2620,1,63,0.0,6,0,36.0
2621,6,73,0.0,9,5,65.0
2622,1,47,1.0,8,8,23.0
2623,1,83,1.0,6,6,60.0
2624,8,92,0.0,4,4,83.0
2625,4,72,1.0,8,9,56.0
2626,1,62,0.0,8,9,37.0
2627,7,52,0.0,5,8,43.0
2628,5,93,0.0,7,1,76.0
2629,5,92,0.0,8,6,83.0
2630,1,88,0.0,6,8,63.0
2631,6,53,1.0,7,1,39.0
2632,9,53,1.0,4,9,48.0
2633,9,55,1.0,7,5,53.0
2634,8,88,1.0,5,8,84.0
2635,5,77,0.0,4,2,63.0
2636,1,97,1.0,8,7,73.0
2637,9,99,0.0,9,4,99.0
2638,1,78,0.0,4,6,52.0
2639,8,65,1.0,4,2,58.0
2640,5,65,1.0,5,7,50.0
2641,3,40,0.0,6,1,18.0
2642,7,71,1.0,4,7,62.0
2643,7,96,1.0,6,1,87.0
2644,9,54,1.0,7,6,53.0
2645,7,91,1.0,9,1,87.0
2646,3,60,0.0,5,6,37.0
2647,1,57,0.0,8,0,31.0
2648,8,69,1.0,4,5,63.0
2649,3,99,0.0,9,9,81.0
2650,8,97,0.0,9,6,95.0
2651,8,52,1.0,6,3,45.0
2652,5,63,1.0,4,0,48.0
2653,1,69,0.0,9,5,47.0
2654,7,41,0.0,5,3,31.0
2655,5,58,0.0,8,2,43.0
2656,8,86,1.0,7,3,82.0
2657,9,83,0.0,7,5,80.0
2658,7,86,0.0,6,4,76.0
2659,7,64,1.0,9,1,57.0
2660,1,89,0.0,7,1,64.0
2661,4,53,1.0,6,2,35.0
2662,2,45,1.0,8,5,24.0
2663,2,51,0.0,4,0,30.0
2664,2,59,1.0,5,6,38.0
2665,4,62,1.0,8,7,45.0
2666,1,69,0.0,8,6,44.0
2667,4,69,1.0,7,2,53.0
2668,2,77,0.0,7,5,53.0
2669,5,97,1.0,5,3,84.0
2670,3,69,1.0,4,4,47.0
2671,8,80,0.0,8,2,76.0
2672,4,69,0.0,9,4,57.0
2673,1,96,0.0,7,5,71.0
2674,1,97,1.0,8,7,74.0
2675,3,75,0.0,4,5,54.0
2676,9,88,1.0,6,8,84.0
2677,7,73,0.0,4,9,62.0
2678,2,55,1.0,8,9,35.0
2679,9,63,0.0,8,9,62.0
2680,2,53,1.0,5,9,30.0
2681,3,65,0.0,8,3,47.0
2682,2,47,1.0,7,1,25.0
2683,3,53,1.0,9,8,40.0
2684,6,70,1.0,5,2,56.0
2685,9,41,1.0,8,6,38.0
2686,9,87,0.0,4,3,86.0
2687,7,43,1.0,8,0,38.0
2688,3,40,0.0,4,7,17.0
2689,4,94,1.0,4,3,75.0
2690,6,59,0.0,8,5,48.0
2691,5,98,1.0,4,6,87.0
2692,2,53,1.0,9,7,32.0
2693,6,79,0.0,6,9,68.0
2694,3,64,0.0,5,1,42.0
2695,8,99,1.0,8,8,96.0
2696,2,64,0.0,6,9,42.0
2697,1,42,0.0,4,2,18.0
2698,9,44,0.0,4,0,41.0
2699,3,77,1.0,5,1,54.0
2700,1,93,0.0,6,7,67.0
2701,7,65,1.0,6,9,57.0
2702,5,79,0.0,8,5,65.0
2703,5,77,0.0,4,0,62.0
2704,1,77,1.0,7,8,56.0
2705,9,43,0.0,8,6,39.0
2706,7,46,0.0,8,9,38.0
2707,8,69,0.0,8,2,65.0
2708,9,69,0.0,5,6,68.0
2709,6,95,0.0,5,5,82.0
2710,5,58,0.0,8,2,44.0
2711,6,78,0.0,9,7,67.0
2712,2,74,1.0,7,0,53.0
2713,4,79,1.0,6,4,61.0
2714,3,72,1.0,6,7,53.0
2715,7,72,1.0,4,2,61.0
2716,9,53,1.0,6,9,49.0
2717,5,77,0.0,6,5,61.0
2718,6,49,1.0,7,9,38.0
2719,2,96,1.0,6,1,76.0
2720,3,67,0.0,7,8,47.0
2721,3,53,1.0,5,1,32.0
2722,9,75,0.0,7,4,71.0
2723,7,77,0.0,5,2,69.0
2724,8,55,1.0,7,9,53.0
2725,9,99,1.0,8,8,100.0
2726,6,60,0.0,9,8,49.0
2727,4,67,0.0,5,6,48.0
2728,1,72,1.0,5,9,45.0
2729,8,45,0.0,6,4,40.0
2730,7,80,1.0,5,8,71.0
2731,2,54,1.0,7,6,34.0
2732,8,83,1.0,8,1,76.0
2733,5,42,1.0,8,9,29.0
2734,7,82,0.0,6,0,71.0
2735,4,86,0.0,7,9,69.0
2736,5,74,1.0,7,9,58.0
2737,8,53,1.0,4,3,43.0
2738,1,41,0.0,5,9,17.0
2739,1,68,0.0,6,7,41.0
2740,4,43,0.0,8,5,27.0
2741,3,65,0.0,9,1,45.0
2742,2,90,0.0,4,4,65.0
2743,3,51,1.0,7,8,31.0
2744,1,41,1.0,5,5,14.0
2745,1,56,1.0,8,5,33.0
2746,6,74,1.0,4,6,60.0
2747,5,49,0.0,7,4,34.0
2748,8,87,0.0,8,2,82.0
2749,2,61,1.0,8,2,40.0
2750,4,80,1.0,7,4,66.0
2751,8,82,0.0,7,3,76.0
2752,6,60,1.0,6,4,46.0
2753,1,54,1.0,8,8,31.0
2754,4,74,0.0,7,4,57.0
2755,1,87,0.0,9,3,65.0
2756,2,60,0.0,9,3,38.0
2757,5,60,1.0,4,0,46.0
2758,8,60,0.0,5,9,53.0
2759,8,99,0.0,9,3,97.0
2760,3,83,1.0,6,3,63.0
2761,4,71,0.0,7,8,55.0
2762,6,94,1.0,5,3,79.0
2763,3,44,1.0,6,6,26.0
2764,2,78,1.0,8,0,55.0
2765,6,48,1.0,5,6,37.0
2766,5,92,0.0,9,1,78.0
2767,5,57,1.0,6,7,45.0
2768,5,60,0.0,7,0,45.0
2769,5,47,0.0,7,9,34.0
2770,3,83,0.0,6,2,66.0
2771,7,91,0.0,8,7,79.0
2772,6,73,0.0,9,9,63.0
2773,4,49,1.0,6,7,32.0
2774,2,90,0.0,4,4,64.0
2775,9,80,1.0,6,4,78.0
2776,1,96,1.0,6,7,69.0
2777,4,63,1.0,9,9,46.0
2778,1,79,0.0,7,4,54.0
2779,6,63,0.0,8,8,51.0
2780,4,95,0.0,6,0,78.0
2781,5,71,0.0,5,4,54.0
2782,5,95,1.0,7,2,80.0
2783,9,72,0.0,7,2,67.0
2784,1,77,0.0,6,1,48.0
2785,2,83,1.0,9,2,61.0
2786,6,96,1.0,5,6,83.0
2787,5,95,1.0,6,7,82.0
2788,7,90,1.0,5,7,78.0
2789,3,98,1.0,7,7,78.0
2790,3,88,1.0,5,0,70.0
2791,2,73,1.0,6,6,48.0
2792,3,50,0.0,4,1,26.0
2793,1,70,0.0,4,9,46.0
2794,5,57,1.0,5,3,42.0
2795,5,62,1.0,9,4,46.0
2796,7,99,0.0,6,0,91.0
2797,4,61,1.0,8,3,47.0
2798,3,82,1.0,4,3,61.0
2799,1,57,1.0,7,8,31.0
2800,8,79,1.0,6,8,71.0
2801,3,86,1.0,6,9,66.0
2802,2,80,0.0,4,0,52.0
2803,4,86,1.0,8,7,71.0
2804,3,78,1.0,7,3,60.0
2805,1,59,1.0,8,3,32.0
2806,3,52,0.0,7,4,33.0
2807,2,84,0.0,4,1,56.0
2808,8,40,1.0,6,0,32.0
2809,6,91,1.0,7,4,76.0
2810,9,43,1.0,6,6,40.0
2811,8,63,1.0,5,9,60.0
2812,3,75,0.0,5,8,54.0
2813,5,75,0.0,4,1,59.0
2814,7,84,1.0,4,7,74.0
2815,5,41,1.0,9,6,29.0
2816,8,67,0.0,4,1,61.0
2817,5,65,0.0,5,4,50.0
2818,1,62,1.0,7,6,36.0
2819,5,54,1.0,8,2,41.0
2820,4,75,1.0,4,1,60.0
2821,6,66,0.0,8,5,56.0
2822,3,45,0.0,8,9,23.0
2823,5,74,0.0,5,5,63.0
2824,2,78,0.0,9,3,54.0
2825,6,77,1.0,7,0,64.0
2826,6,74,0.0,5,4,64.0
2827,5,75,0.0,4,0,58.0
2828,6,49,0.0,5,7,38.0
2829,7,69,1.0,5,1,60.0
2830,5,92,0.0,5,8,79.0
2831,1,80,0.0,4,8,57.0
2832,8,77,0.0,4,2,69.0
2833,4,68,1.0,5,5,51.0
2834,9,91,0.0,5,8,86.0
2835,6,98,1.0,8,6,90.0
2836,1,82,1.0,7,3,57.0
2837,3,78,0.0,8,2,61.0
2838,3,89,1.0,9,1,71.0
2839,4,43,0.0,7,9,30.0
2840,6,44,1.0,9,9,34.0
2841,7,43,1.0,7,0,34.0
2842,4,75,0.0,5,9,58.0
2843,6,98,0.0,8,0,85.0
2844,1,84,1.0,7,3,55.0
2845,8,55,1.0,9,3,51.0
2846,7,64,1.0,7,8,53.0
2847,9,53,1.0,4,9,51.0
2848,3,50,0.0,7,0,31.0
2849,2,68,1.0,5,3,44.0
2850,1,73,1.0,6,2,48.0
2851,3,61,0.0,4,8,41.0
2852,5,53,1.0,6,4,40.0
2853,2,95,0.0,5,8,72.0
2854,3,63,0.0,6,9,41.0
2855,4,98,0.0,7,5,78.0
2856,7,78,1.0,6,8,70.0
2857,3,65,0.0,8,0,41.0
2858,9,82,0.0,5,3,78.0
2859,8,75,0.0,8,3,70.0
2860,4,78,1.0,6,9,61.0
2861,1,55,1.0,8,9,33.0
2862,1,97,1.0,4,5,71.0
2863,1,77,1.0,6,9,51.0
2864,1,98,0.0,9,0,72.0
2865,8,71,0.0,8,9,69.0
2866,3,45,0.0,7,4,21.0
2867,6,73,1.0,6,2,61.0
2868,3,95,0.0,9,0,76.0
2869,5,47,1.0,4,5,30.0
2870,7,69,1.0,7,2,59.0
2871,2,66,1.0,6,3,45.0
2872,6,46,0.0,7,8,39.0
2873,6,66,0.0,6,1,53.0
2874,3,64,1.0,6,0,43.0
2875,6,95,0.0,5,9,85.0
2876,5,85,1.0,8,5,70.0
2877,2,80,0.0,6,0,56.0
2878,9,54,1.0,4,0,52.0
2879,8,64,1.0,9,6,65.0
2880,3,61,1.0,8,1,39.0
2881,8,57,0.0,5,3,48.0
2882,9,51,0.0,8,3,47.0
2883,3,62,0.0,8,1,41.0
2884,3,90,0.0,6,5,72.0
2885,2,84,0.0,4,9,61.0
2886,8,78,1.0,6,1,74.0
2887,1,64,0.0,4,7,38.0
2888,8,49,1.0,4,3,42.0
2889,7,69,0.0,7,0,60.0
2890,7,49,0.0,6,6,35.0
2891,3,73,0.0,5,5,52.0
2892,1,85,1.0,9,5,61.0
2893,4,52,0.0,8,2,32.0
2894,9,93,1.0,7,9,95.0
2895,5,68,0.0,5,6,53.0
2896,1,77,1.0,9,5,54.0
2897,5,80,1.0,9,9,70.0
2898,8,84,1.0,6,9,78.0
2899,8,48,1.0,4,8,42.0
2900,5,52,0.0,6,2,33.0
2901,9,76,0.0,9,2,75.0
2902,1,53,1.0,6,3,26.0
2903,4,76,0.0,7,2,58.0
2904,3,48,1.0,5,3,29.0
2905,2,47,0.0,9,5,29.0
2906,8,78,0.0,7,0,70.0
2907,7,79,0.0,5,1,67.0
2908,9,93,1.0,7,9,93.0
2909,2,42,0.0,8,5,21.0
2910,4,94,1.0,4,5,74.0
2911,6,95,0.0,4,0,82.0
2912,3,86,1.0,4,5,65.0
2913,8,79,0.0,8,8,75.0
2914,3,72,1.0,9,7,55.0
2915,2,71,1.0,9,9,54.0
2916,3,46,1.0,8,4,26.0
2917,6,58,0.0,4,3,48.0
2918,2,73,1.0,4,5,49.0
2919,8,53,0.0,5,4,49.0
2920,1,89,1.0,5,5,64.0
2921,7,86,1.0,6,9,81.0
2922,2,85,1.0,7,2,64.0
2923,6,95,0.0,5,6,82.0
2924,2,96,0.0,5,7,74.0
2925,2,58,0.0,5,4,32.0
2926,8,90,0.0,5,4,83.0
2927,2,93,0.0,8,3,68.0
2928,7,98,0.0,6,9,90.0
2929,3,65,0.0,5,4,44.0
2930,8,56,1.0,9,9,51.0
2931,7,93,1.0,7,7,86.0
2932,8,67,0.0,5,4,62.0
2933,7,58,0.0,8,8,48.0
2934,6,66,0.0,9,0,56.0
2935,7,87,0.0,4,6,79.0
2936,5,91,0.0,4,4,74.0
2937,7,96,1.0,6,3,82.0
2938,1,58,0.0,4,2,32.0
2939,1,72,0.0,5,9,46.0
2940,9,90,0.0,8,6,88.0
2941,5,46,1.0,6,1,35.0
2942,5,68,1.0,9,4,56.0
2943,3,94,1.0,5,1,74.0
2944,5,82,1.0,4,6,67.0
2945,3,44,0.0,7,5,23.0
2946,9,69,1.0,5,9,67.0
2947,9,88,1.0,7,6,86.0
2948,6,82,1.0,9,8,70.0
2949,1,95,1.0,7,1,68.0
2950,7,97,1.0,9,8,91.0
2951,7,47,0.0,6,6,42.0
2952,4,81,1.0,8,1,62.0
2953,8,51,1.0,4,9,44.0
2954,6,81,1.0,4,1,67.0
2955,4,52,0.0,5,3,35.0
2956,4,65,0.0,4,1,46.0
2957,2,57,0.0,6,0,31.0
2958,2,81,0.0,4,5,59.0
2959,4,90,0.0,5,9,71.0
2960,5,91,0.0,4,4,74.0
2961,8,88,0.0,8,2,80.0
2962,6,59,0.0,9,0,49.0
2963,4,55,1.0,7,8,39.0
2964,7,76,1.0,7,7,67.0
2965,8,42,0.0,9,5,38.0
2966,2,66,1.0,7,5,47.0
2967,7,54,0.0,8,3,41.0
2968,2,97,1.0,6,1,75.0
2969,2,73,1.0,5,3,53.0
2970,8,84,0.0,8,1,81.0
2971,2,61,1.0,5,6,37.0
2972,9,79,0.0,6,8,77.0
2973,1,62,0.0,8,1,36.0
2974,9,98,1.0,4,8,95.0
2975,1,88,0.0,6,8,65.0
2976,2,43,1.0,7,7,18.0
2977,6,90,1.0,8,0,80.0
2978,6,93,0.0,6,4,81.0
2979,1,96,0.0,6,9,73.0
2980,7,80,0.0,8,3,74.0
2981,8,62,0.0,7,6,57.0
2982,2,86,0.0,9,7,64.0
2983,8,99,1.0,7,9,97.0
2984,9,48,0.0,6,7,42.0
2985,6,63,1.0,5,1,48.0
2986,5,60,0.0,9,2,46.0
2987,9,80,1.0,9,9,79.0
2988,9,85,1.0,6,9,83.0
2989,1,94,1.0,8,6,70.0
2990,3,92,1.0,8,3,73.0
2991,9,55,1.0,8,5,56.0
2992,2,95,0.0,7,7,71.0
2993,4,94,1.0,4,7,76.0
2994,4,64,0.0,8,6,49.0
2995,2,65,1.0,8,1,43.0
2996,3,88,0.0,9,1,67.0
2997,3,84,1.0,5,2,63.0
2998,1,48,1.0,5,3,18.0
